Rererence,Height,Width,StripWidth,,,,,,,,,,,
48,6.63E+00,4.69E+00,,,,,,,,,,,,
49,1.55E+00,2.00E+01,,,,,,,,,,,,
50,3.31E+01,9.33E-01,,,,,,,,,,,,
51,1.43E+00,2.05E+01,,,,,,,,,,,,
52,7.08E+00,4.04E+00,,,,,,,,,,,,
53,3.40E+00,8.40E+00,,,,,,,,,,,,
54,4.22E+01,6.35E-01,,,,,,,,,,,,
55,1.86E+01,1.34E+00,,,,,,,,,,,,
56,1.12E+00,2.22E+01,,,,,,,,,,,,
57,1.13E+00,2.20E+01,,,,,,,,,,,,
58,1.68E+01,1.47E+00,,,,,,,,,,,,
59,2.43E+01,1.02E+00,,,,,,,,,,,,
60,3.95E+00,6.24E+00,,,,,,,,,,,,
61,2.00E+00,1.23E+01,,,,,,,,,,,,
62,4.12E+01,5.93E-01,,,,,,,,,,,,
63,1.86E+01,1.29E+00,,,,,,,,,,,,
64,6.15E+00,3.84E+00,,,,,,,,,,,,
65,7.82E+00,3.00E+00,,,,,,,,,,,,
66,6.45E+00,3.60E+00,,,,,,,,,,,,
67,7.32E+00,3.15E+00,,,,,,,,,,,,
68,1.01E+00,2.26E+01,,,,,,,,,,,,
69,9.15E+00,2.46E+00,,,,,,,,,,,,
70,2.16E+00,1.02E+01,,,,,,,,,,,,
71,2.63E+00,8.36E+00,,,,,,,,,,,,
72,1.78E+01,1.23E+00,,,,,,,,,,,,
73,4.31E+00,5.06E+00,,,,,,,,,,,,
74,1.53E+00,1.42E+01,,,,,,,,,,,,
75,2.31E+01,9.27E-01,,,,,,,,,,,,
76,1.06E+01,1.99E+00,,,,,,,,,,,,
77,2.21E+00,9.49E+00,,,,,,,,,,,,
78,4.38E+00,4.69E+00,,,,,,,,,,,,
79,4.22E+01,4.81E-01,,,,,,,,,,,,
80,5.79E-01,3.45E+01,,,,,,,,,,,,
81,1.83E+00,1.06E+01,,,,,,,,,,,,
82,1.46E+00,1.32E+01,,,,,,,,,,,,
83,1.42E+00,1.34E+01,,,,,,,,,,,,
84,9.15E+00,2.08E+00,,,,,,,,,,,,
85,8.05E+00,2.35E+00,,,,,,,,,,,,
86,3.40E+00,5.50E+00,,,,,,,,,,,,
87,2.80E+00,6.68E+00,,,,,,,,,,,,
88,1.04E+01,1.78E+00,,,,,,,,,,,,
89,3.17E+01,5.82E-01,,,,,,,,,,,,
90,1.47E+00,1.25E+01,,,,,,,,,,,,
91,1.74E+00,1.06E+01,,,,,,,,,,,,
92,1.49E+00,1.23E+01,,,,,,,,,,,,
93,7.44E+00,2.46E+00,,,,,,,,,,,,
94,2.00E+00,9.10E+00,,,,,,,,,,,,
95,1.44E+00,1.25E+01,,,,,,,,,,,,
96,2.17E+00,8.26E+00,,,,,,,,,,,,
97,1.36E+00,1.32E+01,,,,,,,,,,,,
98,3.13E+00,5.71E+00,,,,,,,,,,,,
99,5.56E+00,3.19E+00,,,,,,,,,,,,
100,1.78E+01,9.94E-01,,,,,,,,,,,,
101,1.89E+01,9.35E-01,,,,,,,,,,,,
102,7.43E+00,2.38E+00,,,,,,,,,,,,
103,2.13E+00,8.26E+00,,,,,,,,,,,,
104,6.14E+00,2.86E+00,,,,,,,,,,,,
105,7.90E-01,2.22E+01,,,,,,,,,,,,
106,1.08E+01,1.62E+00,,,,,,,,,,,,
107,4.86E+00,3.60E+00,,,,,,,,,,,,
108,2.62E+00,6.68E+00,,,,,,,,,,,,
109,4.79E+00,3.64E+00,,,,,,,,,,,,
110,1.40E+00,1.24E+01,,,,,,,,,,,,
111,1.17E+00,1.49E+01,,,,,,,,,,,,
112,4.79E+00,3.61E+00,,,,,,,,,,,,
113,9.64E-01,1.79E+01,,,,,,,,,,,,
114,1.22E+00,1.40E+01,,,,,,,,,,,,
115,1.42E+00,1.20E+01,,,,,,,,,,,,
116,5.38E+00,3.15E+00,,,,,,,,,,,,
117,9.56E+00,1.77E+00,,,,,,,,,,,,
118,7.44E+00,2.26E+00,,,,,,,,,,,,
119,8.89E+00,1.89E+00,,,,,,,,,,,,
120,2.97E+01,5.62E-01,,,,,,,,,,,,
121,5.95E+00,2.79E+00,,,,,,,,,,,,
122,1.13E+01,1.47E+00,,,,,,,,,,,,
123,2.20E+01,7.52E-01,,,,,,,,,,,,
124,2.36E+01,7.00E-01,,,,,,,,,,,,
125,1.11E+01,1.47E+00,,,,,,,,,,,,
126,2.35E+00,6.88E+00,,,,,,,,,,,,
127,3.05E+00,5.30E+00,,,,,,,,,,,,
128,9.68E+00,1.67E+00,,,,,,,,,,,,
129,1.16E+00,1.39E+01,,,,,,,,,,,,
130,8.72E-01,1.84E+01,,,,,,,,,,,,
131,6.12E+00,2.63E+00,,,,,,,,,,,,
132,1.15E+00,1.40E+01,,,,,,,,,,,,
133,1.62E+00,9.92E+00,,,,,,,,,,,,
134,2.21E+00,7.19E+00,,,,,,,,,,,,
135,8.05E+00,1.97E+00,,,,,,,,,,,,
136,1.72E+01,9.16E-01,,,,,,,,,,,,
137,1.67E+01,9.33E-01,,,,,,,,,,,,
138,6.06E-01,2.57E+01,,,,,,,,,,,,
139,5.96E+00,2.61E+00,,,,,,,,,,,,
140,3.64E+00,4.24E+00,,,,,,,,,,,,
141,1.05E+00,1.47E+01,,,,,,,,,,,,
142,6.92E+00,2.23E+00,,,,,,,,,,,,
143,9.00E+00,1.71E+00,,,,,,,,,,,,
144,7.82E+00,1.95E+00,,,,,,,,,,,,
145,2.20E+01,6.94E-01,,,,,,,,,,,,
146,2.28E+00,6.68E+00,,,,,,,,,,,,
147,2.09E+01,7.25E-01,,,,,,,,,,,,
148,2.87E+01,5.27E-01,,,,,,,,,,,,
149,1.42E+00,1.06E+01,,,,,,,,,,,,
150,9.39E-01,1.61E+01,,,,,,,,,,,,
151,5.56E+00,2.71E+00,,,,,,,,,,,,
152,1.57E+01,9.57E-01,,,,,,,,,,,,
153,6.06E-01,2.48E+01,,,,,,,,,,,,
154,1.14E+00,1.32E+01,,,,,,,,,,,,
155,1.08E+01,1.39E+00,,,,,,,,,,,,
156,1.44E+01,1.04E+00,,,,,,,,,,,,
157,2.54E+01,5.89E-01,,,,,,,,,,,,
158,5.40E+00,2.76E+00,,,,,,,,,,,,
159,6.14E+00,2.43E+00,,,,,,,,,,,,
160,8.30E-01,1.79E+01,,,,,,,,,,,,
161,7.10E+00,2.08E+00,,,,,,,,,,,,
162,2.00E+00,7.37E+00,,,,,,,,,,,,
163,1.44E+00,1.02E+01,,,,,,,,,,,,
164,7.08E+00,2.08E+00,,,,,,,,,,,,
165,2.37E+01,6.21E-01,,,,,,,,,,,,
166,7.44E+00,1.97E+00,,,,,,,,,,,,
167,1.25E+01,1.16E+00,,,,,,,,,,,,
168,1.65E+01,8.82E-01,,,,,,,,,,,,
169,1.17E+00,1.24E+01,,,,,,,,,,,,
170,7.08E-01,2.05E+01,,,,,,,,,,,,
171,1.78E+01,8.12E-01,,,,,,,,,,,,
172,1.12E+00,1.29E+01,,,,,,,,,,,,
173,1.42E+00,1.02E+01,,,,,,,,,,,,
174,1.58E+01,9.16E-01,,,,,,,,,,,,
175,4.25E-01,3.39E+01,,,,,,,,,,,,
176,3.83E+00,3.77E+00,,,,,,,,,,,,
177,4.60E+00,3.13E+00,,,,,,,,,,,,
178,2.45E+01,5.89E-01,,,,,,,,,,,,
179,1.09E+00,1.32E+01,,,,,,,,,,,,
180,7.55E+00,1.90E+00,,,,,,,,,,,,
181,2.73E+00,5.24E+00,,,,,,,,,,,,
182,2.35E+00,6.08E+00,,,,,,,,,,,,
183,1.74E+01,8.20E-01,,,,,,,,,,,,
184,1.72E+00,8.26E+00,,,,,,,,,,,,
185,1.56E+00,9.10E+00,,,,,,,,,,,,
186,6.04E+00,2.35E+00,,,,,,,,,,,,
187,1.10E+00,1.29E+01,,,,,,,,,,,,
188,8.47E+00,1.67E+00,,,,,,,,,,,,
189,2.16E+01,6.51E-01,,,,,,,,,,,,
190,1.65E+01,8.53E-01,,,,,,,,,,,,
191,4.14E-01,3.39E+01,,,,,,,,,,,,
192,8.72E-01,1.61E+01,,,,,,,,,,,,
193,2.33E+00,6.03E+00,,,,,,,,,,,,
194,3.20E+00,4.39E+00,,,,,,,,,,,,
195,8.06E+00,1.74E+00,,,,,,,,,,,,
196,9.48E-01,1.47E+01,,,,,,,,,,,,
197,1.57E+01,8.88E-01,,,,,,,,,,,,
198,9.56E+00,1.46E+00,,,,,,,,,,,,
199,3.24E+01,4.27E-01,,,,,,,,,,,,
200,5.01E+00,2.76E+00,,,,,,,,,,,,
201,1.04E+01,1.32E+00,,,,,,,,,,,,
202,8.54E-01,1.61E+01,,,,,,,,,,,,
203,3.24E+01,4.22E-01,,,,,,,,,,,,
204,3.79E+00,3.60E+00,,,,,,,,,,,,
205,1.16E+00,1.18E+01,,,,,,,,,,,,
206,7.08E+00,1.92E+00,,,,,,,,,,,,
207,7.55E+00,1.80E+00,,,,,,,,,,,,
208,4.28E+00,3.17E+00,,,,,,,,,,,,
209,1.57E+01,8.61E-01,,,,,,,,,,,,
210,1.42E+00,9.49E+00,,,,,,,,,,,,
211,1.67E+00,8.07E+00,,,,,,,,,,,,
212,5.75E+00,2.35E+00,,,,,,,,,,,,
213,3.16E+01,4.26E-01,,,,,,,,,,,,
214,7.44E+00,1.81E+00,,,,,,,,,,,,
215,2.22E+00,6.03E+00,,,,,,,,,,,,
216,1.15E+01,1.16E+00,,,,,,,,,,,,
217,2.35E+00,5.69E+00,,,,,,,,,,,,
218,1.20E+01,1.12E+00,,,,,,,,,,,,
219,2.09E+01,6.40E-01,,,,,,,,,,,,
220,6.41E-01,2.08E+01,,,,,,,,,,,,
221,1.73E+00,7.71E+00,,,,,,,,,,,,
222,1.55E+00,8.58E+00,,,,,,,,,,,,
223,6.47E+00,2.04E+00,,,,,,,,,,,,
224,4.34E-01,3.04E+01,,,,,,,,,,,,
225,2.40E+01,5.48E-01,,,,,,,,,,,,
226,1.38E+00,9.49E+00,,,,,,,,,,,,
227,7.08E+00,1.85E+00,,,,,,,,,,,,
228,1.49E+01,8.79E-01,,,,,,,,,,,,
229,3.48E+00,3.77E+00,,,,,,,,,,,,
230,6.47E+00,2.02E+00,,,,,,,,,,,,
231,2.89E+00,4.52E+00,,,,,,,,,,,,
232,1.58E+00,8.26E+00,,,,,,,,,,,,
233,2.03E+01,6.40E-01,,,,,,,,,,,,
234,2.35E+00,5.53E+00,,,,,,,,,,,,
235,2.96E+00,4.39E+00,,,,,,,,,,,,
236,4.31E+00,3.01E+00,,,,,,,,,,,,
237,5.07E-01,2.56E+01,,,,,,,,,,,,
238,5.09E-01,2.54E+01,,,,,,,,,,,,
239,6.32E-01,2.05E+01,,,,,,,,,,,,
240,3.07E+01,4.21E-01,,,,,,,,,,,,
241,4.92E+00,2.63E+00,,,,,,,,,,,,
242,1.63E+01,7.95E-01,,,,,,,,,,,,
243,5.50E+00,2.35E+00,,,,,,,,,,,,
244,2.38E+00,5.42E+00,,,,,,,,,,,,
245,7.84E+00,1.64E+00,,,,,,,,,,,,
246,1.33E+00,9.67E+00,,,,,,,,,,,,
247,5.78E+00,2.23E+00,,,,,,,,,,,,
248,2.04E+00,6.31E+00,,,,,,,,,,,,
249,9.56E+00,1.34E+00,,,,,,,,,,,,
250,1.30E+00,9.92E+00,,,,,,,,,,,,
251,1.62E+01,7.95E-01,,,,,,,,,,,,
252,1.77E+01,7.25E-01,,,,,,,,,,,,
253,1.70E+01,7.56E-01,,,,,,,,,,,,
254,1.05E+01,1.22E+00,,,,,,,,,,,,
255,6.15E+00,2.08E+00,,,,,,,,,,,,
256,1.43E+00,8.95E+00,,,,,,,,,,,,
257,6.14E+00,2.08E+00,,,,,,,,,,,,
258,5.09E-01,2.50E+01,,,,,,,,,,,,
259,1.96E+01,6.51E-01,,,,,,,,,,,,
260,2.04E+00,6.23E+00,,,,,,,,,,,,
261,5.95E+00,2.14E+00,,,,,,,,,,,,
262,1.43E+00,8.88E+00,,,,,,,,,,,,
263,4.85E+00,2.61E+00,,,,,,,,,,,,
264,1.99E+00,6.34E+00,,,,,,,,,,,,
265,5.73E-01,2.20E+01,,,,,,,,,,,,
266,8.74E+00,1.45E+00,,,,,,,,,,,,
267,2.63E+00,4.80E+00,,,,,,,,,,,,
268,1.99E+00,6.34E+00,,,,,,,,,,,,
269,6.63E+00,1.90E+00,,,,,,,,,,,,
270,4.15E-01,3.04E+01,,,,,,,,,,,,
271,5.07E-01,2.49E+01,,,,,,,,,,,,
272,1.14E+00,1.10E+01,,,,,,,,,,,,
273,6.15E+00,2.04E+00,,,,,,,,,,,,
274,3.97E+00,3.14E+00,,,,,,,,,,,,
275,8.18E-01,1.51E+01,,,,,,,,,,,,
276,7.79E-01,1.58E+01,,,,,,,,,,,,
277,6.88E-01,1.78E+01,,,,,,,,,,,,
278,7.72E+00,1.57E+00,,,,,,,,,,,,
279,3.85E+00,3.14E+00,,,,,,,,,,,,
280,2.91E+00,4.12E+00,,,,,,,,,,,,
281,7.44E+00,1.61E+00,,,,,,,,,,,,
282,1.05E+01,1.13E+00,,,,,,,,,,,,
283,1.28E+01,9.34E-01,,,,,,,,,,,,
284,1.13E+01,1.05E+00,,,,,,,,,,,,
285,7.84E+00,1.49E+00,,,,,,,,,,,,
286,2.91E+00,4.01E+00,,,,,,,,,,,,
287,9.30E+00,1.25E+00,,,,,,,,,,,,
288,2.33E+00,4.97E+00,,,,,,,,,,,,
289,1.82E+00,6.37E+00,,,,,,,,,,,,
290,3.20E+00,3.60E+00,,,,,,,,,,,,
291,4.30E+00,2.66E+00,,,,,,,,,,,,
292,8.05E+00,1.41E+00,,,,,,,,,,,,
293,2.79E+00,4.06E+00,,,,,,,,,,,,
294,3.68E+00,3.08E+00,,,,,,,,,,,,
295,1.63E+00,6.91E+00,,,,,,,,,,,,
296,1.76E+00,6.37E+00,,,,,,,,,,,,
297,9.37E-01,1.19E+01,,,,,,,,,,,,
298,3.17E+01,3.52E-01,,,,,,,,,,,,
299,8.05E+00,1.38E+00,,,,,,,,,,,,
300,9.69E-01,1.14E+01,,,,,,,,,,,,
301,5.28E+00,2.09E+00,,,,,,,,,,,,
302,8.24E-01,1.34E+01,,,,,,,,,,,,
303,2.10E+00,5.19E+00,,,,,,,,,,,,
304,1.33E+01,8.20E-01,,,,,,,,,,,,
305,9.56E+00,1.14E+00,,,,,,,,,,,,
306,2.14E+00,5.08E+00,,,,,,,,,,,,
307,2.97E+01,3.66E-01,,,,,,,,,,,,
308,3.15E+00,3.43E+00,,,,,,,,,,,,
309,2.66E+00,4.05E+00,,,,,,,,,,,,
310,1.14E+00,9.42E+00,,,,,,,,,,,,
311,8.59E-01,1.24E+01,,,,,,,,,,,,
312,6.15E+00,1.74E+00,,,,,,,,,,,,
313,2.63E+00,4.06E+00,,,,,,,,,,,,
314,1.82E+01,5.85E-01,,,,,,,,,,,,
315,8.05E+00,1.32E+00,,,,,,,,,,,,
316,8.05E+00,1.32E+00,,,,,,,,,,,,
317,2.89E+00,3.68E+00,,,,,,,,,,,,
318,2.22E+01,4.76E-01,,,,,,,,,,,,
319,2.24E+00,4.69E+00,,,,,,,,,,,,
320,9.30E+00,1.13E+00,,,,,,,,,,,,
321,2.40E+00,4.38E+00,,,,,,,,,,,,
322,7.08E+00,1.48E+00,,,,,,,,,,,,
323,3.39E+00,3.08E+00,,,,,,,,,,,,
324,3.03E+00,3.43E+00,,,,,,,,,,,,
325,5.79E-01,1.78E+01,,,,,,,,,,,,
326,7.31E-01,1.41E+01,,,,,,,,,,,,
327,9.69E-01,1.06E+01,,,,,,,,,,,,
328,2.14E+00,4.80E+00,,,,,,,,,,,,
329,2.97E+01,3.45E-01,,,,,,,,,,,,
330,1.63E+00,6.25E+00,,,,,,,,,,,,
331,1.44E+01,7.05E-01,,,,,,,,,,,,
332,1.08E+01,9.34E-01,,,,,,,,,,,,
333,5.39E-01,1.86E+01,,,,,,,,,,,,
334,3.99E+00,2.52E+00,,,,,,,,,,,,
335,1.31E+00,7.64E+00,,,,,,,,,,,,
336,4.49E-01,2.22E+01,,,,,,,,,,,,
337,4.30E+00,2.31E+00,,,,,,,,,,,,
338,1.03E+01,9.55E-01,,,,,,,,,,,,
339,7.03E-01,1.40E+01,,,,,,,,,,,,
340,1.03E+01,9.52E-01,,,,,,,,,,,,
341,3.80E+00,2.57E+00,,,,,,,,,,,,
342,3.80E+00,2.57E+00,,,,,,,,,,,,
343,3.17E+00,3.08E+00,,,,,,,,,,,,
344,2.66E+00,3.66E+00,,,,,,,,,,,,
345,2.23E+01,4.32E-01,,,,,,,,,,,,
346,1.16E+00,8.29E+00,,,,,,,,,,,,
347,1.89E+00,5.06E+00,,,,,,,,,,,,
348,5.60E+00,1.71E+00,,,,,,,,,,,,
349,1.13E+01,8.51E-01,,,,,,,,,,,,
350,1.69E+01,5.64E-01,,,,,,,,,,,,
351,7.85E+00,1.21E+00,,,,,,,,,,,,
352,1.20E+00,7.89E+00,,,,,,,,,,,,
353,2.17E+00,4.38E+00,,,,,,,,,,,,
354,4.24E-01,2.22E+01,,,,,,,,,,,,
355,1.70E+00,5.50E+00,,,,,,,,,,,,
356,4.64E-01,2.01E+01,,,,,,,,,,,,
357,8.18E-01,1.13E+01,,,,,,,,,,,,
358,5.19E-01,1.78E+01,,,,,,,,,,,,
359,7.51E-01,1.23E+01,,,,,,,,,,,,
360,4.11E+00,2.23E+00,,,,,,,,,,,,
361,2.73E+00,3.34E+00,,,,,,,,,,,,
362,2.84E+00,3.20E+00,,,,,,,,,,,,
363,1.50E+00,6.03E+00,,,,,,,,,,,,
364,4.28E+00,2.11E+00,,,,,,,,,,,,
365,4.28E+00,2.09E+00,,,,,,,,,,,,
366,4.00E+00,2.23E+00,,,,,,,,,,,,
367,9.20E-01,9.67E+00,,,,,,,,,,,,
368,3.64E+00,2.44E+00,,,,,,,,,,,,
369,5.96E-01,1.49E+01,,,,,,,,,,,,
370,3.98E+00,2.22E+00,,,,,,,,,,,,
371,5.09E+00,1.74E+00,,,,,,,,,,,,
372,5.94E-01,1.49E+01,,,,,,,,,,,,
373,6.41E-01,1.37E+01,,,,,,,,,,,,
374,2.74E+00,3.20E+00,,,,,,,,,,,,
375,1.14E+00,7.66E+00,,,,,,,,,,,,
376,8.18E-01,1.07E+01,,,,,,,,,,,,
377,1.33E+00,6.54E+00,,,,,,,,,,,,
378,8.82E-01,9.88E+00,,,,,,,,,,,,
379,1.40E+01,6.21E-01,,,,,,,,,,,,
380,1.23E+00,7.03E+00,,,,,,,,,,,,
381,1.22E+01,7.07E-01,,,,,,,,,,,,
382,5.39E-01,1.59E+01,,,,,,,,,,,,
383,1.56E+01,5.51E-01,,,,,,,,,,,,
384,2.73E+00,3.12E+00,,,,,,,,,,,,
385,1.31E+00,6.48E+00,,,,,,,,,,,,
386,6.10E-01,1.40E+01,,,,,,,,,,,,
387,9.36E+00,9.08E-01,,,,,,,,,,,,
388,1.78E+01,4.77E-01,,,,,,,,,,,,
389,8.59E-01,9.88E+00,,,,,,,,,,,,
390,6.07E+00,1.39E+00,,,,,,,,,,,,
391,9.63E-01,8.78E+00,,,,,,,,,,,,
392,1.63E+00,5.20E+00,,,,,,,,,,,,
393,1.84E+01,4.58E-01,,,,,,,,,,,,
394,1.84E+01,4.58E-01,,,,,,,,,,,,
395,3.78E+00,2.23E+00,,,,,,,,,,,,
396,1.77E+01,4.75E-01,,,,,,,,,,,,
397,5.00E+00,1.67E+00,,,,,,,,,,,,
398,1.42E+01,5.85E-01,,,,,,,,,,,,
399,5.90E-01,1.41E+01,,,,,,,,,,,,
400,1.37E+00,6.03E+00,,,,,,,,,,,,
401,8.38E-01,9.88E+00,,,,,,,,,,,,
402,1.55E+00,5.33E+00,,,,,,,,,,,,
403,1.53E+01,5.40E-01,,,,,,,,,,,,
404,4.28E+00,1.93E+00,,,,,,,,,,,,
405,1.62E+01,5.08E-01,,,,,,,,,,,,
406,1.03E+01,7.97E-01,,,,,,,,,,,,
407,1.49E+00,5.50E+00,,,,,,,,,,,,
408,1.07E+00,7.66E+00,,,,,,,,,,,,
409,9.31E-01,8.78E+00,,,,,,,,,,,,
410,1.89E+01,4.32E-01,,,,,,,,,,,,
411,3.98E+00,2.05E+00,,,,,,,,,,,,
412,2.87E-01,2.84E+01,,,,,,,,,,,,
413,2.86E-01,2.84E+01,,,,,,,,,,,,
414,1.28E+00,6.37E+00,,,,,,,,,,,,
415,1.77E+01,4.60E-01,,,,,,,,,,,,
416,8.23E-01,9.88E+00,,,,,,,,,,,,
417,5.58E+00,1.45E+00,,,,,,,,,,,,
418,9.56E+00,8.47E-01,,,,,,,,,,,,
419,7.82E+00,1.03E+00,,,,,,,,,,,,
420,6.36E+00,1.27E+00,,,,,,,,,,,,
421,1.10E+00,7.37E+00,,,,,,,,,,,,
422,8.35E-01,9.67E+00,,,,,,,,,,,,
423,1.70E+01,4.76E-01,,,,,,,,,,,,
424,1.15E+00,7.03E+00,,,,,,,,,,,,
425,1.72E+00,4.68E+00,,,,,,,,,,,,
426,4.63E+00,1.74E+00,,,,,,,,,,,,
427,4.50E-01,1.78E+01,,,,,,,,,,,,
428,1.14E+01,7.07E-01,,,,,,,,,,,,
429,2.54E+00,3.15E+00,,,,,,,,,,,,
430,1.45E+00,5.50E+00,,,,,,,,,,,,
431,1.33E+00,6.00E+00,,,,,,,,,,,,
432,1.41E+01,5.68E-01,,,,,,,,,,,,
433,2.94E+00,2.72E+00,,,,,,,,,,,,
434,7.82E+00,1.02E+00,,,,,,,,,,,,
435,7.85E+00,1.02E+00,,,,,,,,,,,,
436,1.17E+00,6.78E+00,,,,,,,,,,,,
437,9.26E+00,8.51E-01,,,,,,,,,,,,
438,9.36E+00,8.41E-01,,,,,,,,,,,,
439,1.83E+00,4.29E+00,,,,,,,,,,,,
440,1.98E+01,3.98E-01,,,,,,,,,,,,
441,2.75E+00,2.85E+00,,,,,,,,,,,,
442,4.63E+00,1.69E+00,,,,,,,,,,,,
443,1.54E+01,5.08E-01,,,,,,,,,,,,
444,6.60E-01,1.19E+01,,,,,,,,,,,,
445,2.24E+00,3.49E+00,,,,,,,,,,,,
446,2.75E+00,2.85E+00,,,,,,,,,,,,
447,1.50E+00,5.20E+00,,,,,,,,,,,,
448,5.83E-01,1.34E+01,,,,,,,,,,,,
449,5.82E-01,1.34E+01,,,,,,,,,,,,
450,6.65E-01,1.17E+01,,,,,,,,,,,,
451,3.31E+00,2.35E+00,,,,,,,,,,,,
452,1.44E+01,5.40E-01,,,,,,,,,,,,
453,6.63E-01,1.17E+01,,,,,,,,,,,,
454,1.41E+01,5.51E-01,,,,,,,,,,,,
455,6.52E-01,1.19E+01,,,,,,,,,,,,
456,1.94E+01,3.98E-01,,,,,,,,,,,,
457,1.41E+01,5.48E-01,,,,,,,,,,,,
458,3.13E+00,2.46E+00,,,,,,,,,,,,
459,6.46E-01,1.19E+01,,,,,,,,,,,,
460,3.84E-01,2.01E+01,,,,,,,,,,,,
461,6.58E-01,1.17E+01,,,,,,,,,,,,
462,1.84E+01,4.17E-01,,,,,,,,,,,,
463,3.99E+00,1.93E+00,,,,,,,,,,,,
464,5.58E+00,1.38E+00,,,,,,,,,,,,
465,1.84E+01,4.16E-01,,,,,,,,,,,,
466,3.99E+00,1.92E+00,,,,,,,,,,,,
467,3.73E+00,2.05E+00,,,,,,,,,,,,
468,5.46E-01,1.40E+01,,,,,,,,,,,,
469,1.69E+01,4.51E-01,,,,,,,,,,,,
470,1.20E+00,6.32E+00,,,,,,,,,,,,
471,3.71E+00,2.05E+00,,,,,,,,,,,,
472,6.49E-01,1.17E+01,,,,,,,,,,,,
473,2.89E+00,2.62E+00,,,,,,,,,,,,
474,2.41E+00,3.15E+00,,,,,,,,,,,,
475,1.22E+01,6.21E-01,,,,,,,,,,,,
476,1.08E+01,7.01E-01,,,,,,,,,,,,
477,2.94E+00,2.58E+00,,,,,,,,,,,,
478,1.89E+00,4.00E+00,,,,,,,,,,,,
479,3.34E+00,2.23E+00,,,,,,,,,,,,
480,4.24E+00,1.67E+00,,,,,,,,,,,,
481,6.81E+00,1.04E+00,,,,,,,,,,,,
482,7.22E+00,9.66E-01,,,,,,,,,,,,
483,4.57E-01,1.49E+01,,,,,,,,,,,,
484,1.04E+01,6.37E-01,,,,,,,,,,,,
485,1.04E+01,6.35E-01,,,,,,,,,,,,
486,1.20E+00,5.50E+00,,,,,,,,,,,,
487,1.08E+01,5.88E-01,,,,,,,,,,,,
488,6.36E+00,9.99E-01,,,,,,,,,,,,
489,1.15E+00,5.50E+00,,,,,,,,,,,,
490,9.30E-01,6.78E+00,,,,,,,,,,,,
491,7.22E+00,8.12E-01,,,,,,,,,,,,
492,6.81E+00,8.51E-01,,,,,,,,,,,,
493,3.38E+00,1.70E+00,,,,,,,,,,,,
494,1.76E+00,3.22E+00,,,,,,,,,,,,
495,8.18E-01,6.81E+00,,,,,,,,,,,,
496,3.32E+00,1.67E+00,,,,,,,,,,,,
497,6.36E+00,8.64E-01,,,,,,,,,,,,
