Rererence,Height,Width,StripWidth,
62,1.14E+01,2.16E+00,,
63,2.30E+01,1.07E+00,,
64,3.04E+00,8.04E+00,,
65,1.44E+00,1.69E+01,,
66,2.64E+00,9.18E+00,,
67,1.74E+01,1.39E+00,,
68,2.49E+01,9.70E-01,,
69,1.88E+00,1.28E+01,,
70,5.99E-01,4.01E+01,,
71,3.35E+00,7.17E+00,,
72,9.65E+00,2.48E+00,,
73,6.99E+00,3.40E+00,,
74,1.99E+00,1.19E+01,,
75,1.71E+01,1.39E+00,,
76,3.85E+00,6.15E+00,,
77,1.87E+00,1.26E+01,,
78,1.92E+00,1.23E+01,,
79,3.28E+00,7.17E+00,,
80,2.10E+01,1.12E+00,,
81,6.90E+00,3.40E+00,,
82,3.28E+00,7.15E+00,,
83,2.39E+01,9.73E-01,,
84,3.75E+00,6.15E+00,,
85,1.83E+01,1.26E+00,,
86,9.49E-01,2.43E+01,,
87,2.09E+01,1.10E+00,,
88,1.42E+00,1.61E+01,,
89,1.83E+01,1.24E+00,,
90,1.57E+00,1.44E+01,,
91,2.64E+01,8.56E-01,,
92,2.59E+00,8.68E+00,,
93,2.32E+01,9.70E-01,,
94,5.30E+00,4.24E+00,,
95,1.16E+01,1.94E+00,,
96,1.10E+00,2.04E+01,,
97,9.23E-01,2.43E+01,,
98,1.83E+01,1.22E+00,,
99,2.00E+00,1.11E+01,,
100,1.84E+01,1.21E+00,,
101,5.62E+00,3.96E+00,,
102,5.51E-01,4.01E+01,,
103,6.07E+00,3.64E+00,,
104,4.40E+00,5.00E+00,,
105,4.40E+00,5.00E+00,,
106,3.62E+00,6.07E+00,,
107,1.15E+00,1.91E+01,,
108,4.14E+00,5.29E+00,,
109,1.51E+00,1.45E+01,,
110,1.71E+01,1.28E+00,,
111,1.64E+01,1.33E+00,,
112,1.42E+01,1.54E+00,,
113,2.00E+00,1.09E+01,,
114,1.62E+01,1.34E+00,,
115,1.64E+01,1.32E+00,,
116,1.64E+01,1.32E+00,,
117,8.71E+00,2.49E+00,,
118,1.32E+01,1.63E+00,,
119,2.42E+00,8.93E+00,,
120,5.45E+00,3.96E+00,,
121,1.32E+01,1.63E+00,,
122,2.05E+00,1.05E+01,,
123,1.75E+00,1.23E+01,,
124,3.98E+01,5.41E-01,,
125,8.87E-01,2.43E+01,,
126,2.42E+00,8.89E+00,,
127,1.88E+00,1.14E+01,,
128,1.81E+00,1.19E+01,,
129,8.65E+00,2.48E+00,,
130,2.21E+01,9.69E-01,,
131,5.11E-01,4.18E+01,,
132,3.40E+00,6.26E+00,,
133,1.06E+01,2.00E+00,,
134,2.69E+01,7.88E-01,,
135,9.87E-01,2.14E+01,,
136,7.10E+00,2.95E+00,,
137,3.29E+01,6.35E-01,,
138,1.81E+00,1.15E+01,,
139,1.88E+00,1.10E+01,,
140,1.62E+01,1.26E+00,,
141,2.06E+00,9.92E+00,,
142,1.62E+01,1.26E+00,,
143,1.83E+01,1.11E+00,,
144,6.25E+00,3.24E+00,,
145,4.33E+00,4.66E+00,,
146,8.31E-01,2.43E+01,,
147,1.42E+01,1.41E+00,,
148,3.40E+00,5.89E+00,,
149,5.06E+00,3.95E+00,,
150,1.22E+00,1.63E+01,,
151,2.05E+00,9.73E+00,,
152,5.04E+00,3.96E+00,,
153,1.40E+01,1.42E+00,,
154,1.69E+00,1.17E+01,,
155,2.05E+00,9.64E+00,,
156,2.58E+01,7.63E-01,,
157,1.44E+01,1.37E+00,,
158,3.27E+00,6.02E+00,,
159,5.78E-01,3.40E+01,,
160,1.08E+01,1.81E+00,,
161,1.13E+01,1.73E+00,,
162,4.95E+00,3.95E+00,,
163,1.03E+01,1.89E+00,,
164,3.94E+00,4.93E+00,,
165,2.65E+01,7.32E-01,,
166,2.28E+01,8.44E-01,,
167,6.90E-01,2.78E+01,,
168,1.35E+00,1.42E+01,,
169,4.99E+00,3.83E+00,,
170,2.39E+01,7.97E-01,,
171,6.47E+00,2.95E+00,,
172,2.66E+00,7.13E+00,,
173,2.89E+00,6.58E+00,,
174,2.14E+01,8.86E-01,,
175,1.44E+00,1.32E+01,,
176,9.03E+00,2.09E+00,,
177,1.42E+01,1.33E+00,,
178,2.07E+00,9.07E+00,,
179,1.17E+00,1.61E+01,,
180,2.09E+01,8.99E-01,,
181,2.17E+01,8.60E-01,,
182,1.45E+01,1.28E+00,,
183,3.45E+00,5.40E+00,,
184,2.82E+00,6.59E+00,,
185,1.45E+01,1.28E+00,,
186,1.33E+00,1.40E+01,,
187,1.08E+01,1.70E+00,,
188,3.52E+01,5.23E-01,,
189,4.38E-01,4.18E+01,,
190,4.63E+00,3.95E+00,,
191,1.49E+00,1.23E+01,,
192,4.63E+00,3.95E+00,,
193,1.83E+01,1.00E+00,,
194,1.30E+00,1.40E+01,,
195,6.15E-01,2.96E+01,,
196,2.39E+01,7.63E-01,,
197,3.64E+00,4.99E+00,,
198,5.69E+00,3.20E+00,,
199,2.52E+01,7.20E-01,,
200,1.83E+00,9.92E+00,,
201,2.15E+01,8.44E-01,,
202,1.43E+01,1.27E+00,,
203,2.61E+01,6.93E-01,,
204,1.03E+01,1.75E+00,,
205,2.54E+01,7.10E-01,,
206,1.38E+00,1.30E+01,,
207,9.36E-01,1.91E+01,,
208,1.30E+01,1.37E+00,,
209,5.99E-01,2.96E+01,,
210,1.57E+00,1.13E+01,,
211,4.49E+00,3.96E+00,,
212,1.22E+00,1.45E+01,,
213,1.46E+00,1.20E+01,,
214,1.72E+00,1.02E+01,,
215,2.92E+00,6.00E+00,,
216,2.82E+00,6.23E+00,,
217,1.32E+01,1.33E+00,,
218,3.04E+00,5.76E+00,,
219,8.38E+00,2.09E+00,,
220,2.10E+01,8.35E-01,,
221,1.38E+01,1.27E+00,,
222,1.69E+00,1.03E+01,,
223,9.36E-01,1.85E+01,,
224,2.89E+00,5.98E+00,,
225,1.88E+00,9.20E+00,,
226,9.98E+00,1.73E+00,,
227,2.43E+01,7.10E-01,,
228,1.37E+00,1.26E+01,,
229,2.82E+00,6.10E+00,,
230,2.40E+00,7.15E+00,,
231,8.07E-01,2.13E+01,,
232,1.46E+00,1.17E+01,,
233,3.29E+01,5.21E-01,,
234,1.31E+00,1.31E+01,,
235,2.59E+00,6.58E+00,,
236,2.38E+00,7.13E+00,,
237,1.18E+01,1.44E+00,,
238,2.31E+01,7.32E-01,,
239,1.28E+00,1.32E+01,,
240,3.13E+00,5.40E+00,,
241,1.19E+00,1.42E+01,,
242,1.62E+01,1.04E+00,,
243,2.81E+00,6.00E+00,,
244,3.37E+00,4.99E+00,,
245,3.73E+00,4.51E+00,,
246,1.15E+00,1.46E+01,,
247,5.51E+00,3.05E+00,,
248,2.32E+01,7.20E-01,,
249,1.64E+01,1.02E+00,,
250,2.28E+00,7.34E+00,,
251,2.12E+01,7.88E-01,,
252,2.43E+00,6.85E+00,,
253,8.07E-01,2.06E+01,,
254,8.48E+00,1.96E+00,,
255,7.54E+00,2.20E+00,,
256,1.29E+01,1.28E+00,,
257,2.33E+01,7.11E-01,,
258,1.36E+01,1.21E+00,,
259,4.99E+00,3.31E+00,,
260,2.28E+00,7.24E+00,,
261,3.30E+00,4.99E+00,,
262,3.11E+00,5.29E+00,,
263,8.25E+00,2.00E+00,,
264,1.36E+01,1.21E+00,,
265,9.66E+00,1.70E+00,,
266,1.26E+00,1.30E+01,,
267,6.72E+00,2.44E+00,,
268,5.87E-01,2.78E+01,,
269,1.35E+01,1.21E+00,,
270,2.10E+01,7.78E-01,,
271,5.49E-01,2.96E+01,,
272,5.85E-01,2.78E+01,,
273,2.70E+00,6.02E+00,,
274,2.35E+01,6.93E-01,,
275,2.05E+00,7.93E+00,,
276,2.04E+00,7.86E+00,,
277,6.58E+00,2.37E+00,,
278,5.28E+00,2.95E+00,,
279,7.54E+00,2.04E+00,,
280,4.26E+00,3.59E+00,,
281,8.83E-01,1.72E+01,,
282,1.12E+01,1.35E+00,,
283,5.82E+00,2.60E+00,,
284,2.30E+01,6.56E-01,,
285,1.15E+00,1.31E+01,,
286,2.33E+00,6.39E+00,,
287,1.11E+01,1.35E+00,,
288,2.64E+01,5.64E-01,,
289,5.24E+00,2.79E+00,,
290,6.88E+00,2.12E+00,,
291,5.61E+00,2.60E+00,,
292,4.53E-01,3.17E+01,,
293,1.08E+01,1.32E+00,,
294,2.07E+00,6.85E+00,,
295,6.92E-01,2.05E+01,,
296,9.97E-01,1.42E+01,,
297,3.85E+00,3.67E+00,,
298,3.33E+00,4.24E+00,,
299,6.84E-01,2.06E+01,,
300,1.37E+01,1.02E+00,,
301,1.37E+01,1.02E+00,,
302,1.50E+00,9.27E+00,,
303,1.50E+01,9.27E-01,,
304,2.30E+01,6.03E-01,,
305,6.88E+00,2.02E+00,,
306,2.77E+00,4.99E+00,,
307,1.02E+01,1.35E+00,,
308,3.45E+00,4.00E+00,,
309,2.24E+00,6.13E+00,,
310,6.63E-01,2.06E+01,,
311,2.04E+00,6.72E+00,,
312,1.71E+01,8.01E-01,,
313,9.36E-01,1.46E+01,,
314,1.33E+00,1.03E+01,,
315,1.12E+01,1.21E+00,,
316,3.89E+00,3.50E+00,,
317,4.20E+00,3.24E+00,,
318,2.19E+00,6.22E+00,,
319,1.87E+00,7.26E+00,,
320,3.40E+00,4.00E+00,,
321,3.81E+00,3.56E+00,,
322,1.31E+01,1.03E+00,,
323,3.79E+00,3.56E+00,,
324,1.33E+00,1.01E+01,,
325,3.76E+00,3.59E+00,,
326,5.30E+00,2.53E+00,,
327,2.30E+01,5.80E-01,,
328,1.01E+00,1.33E+01,,
329,3.76E+00,3.55E+00,,
330,3.00E+00,4.43E+00,,
331,4.50E+00,2.95E+00,,
332,5.78E-01,2.29E+01,,
333,3.64E+00,3.64E+00,,
334,1.31E+01,1.01E+00,,
335,2.47E+01,5.35E-01,,
336,3.29E+01,4.01E-01,,
337,8.75E+00,1.51E+00,,
338,1.71E+01,7.73E-01,,
339,4.12E+00,3.20E+00,,
340,2.24E+00,5.86E+00,,
341,6.31E+00,2.08E+00,,
342,2.97E+00,4.43E+00,,
343,5.24E+00,2.50E+00,,
344,2.68E+01,4.89E-01,,
345,6.37E+00,2.05E+00,,
346,4.12E-01,3.17E+01,,
347,8.66E+00,1.51E+00,,
348,2.73E+00,4.79E+00,,
349,3.89E+00,3.35E+00,,
350,1.99E+00,6.54E+00,,
351,2.61E+00,4.99E+00,,
352,3.33E+00,3.91E+00,,
353,1.02E+01,1.28E+00,,
354,3.10E+00,4.19E+00,,
355,4.09E-01,3.17E+01,,
356,1.34E+00,9.63E+00,,
357,1.37E+00,9.45E+00,,
358,4.08E-01,3.17E+01,,
359,6.28E+00,2.06E+00,,
360,1.03E+01,1.25E+00,,
361,3.62E+00,3.56E+00,,
362,6.13E-01,2.10E+01,,
363,1.71E+01,7.55E-01,,
364,3.33E+00,3.87E+00,,
365,7.88E-01,1.63E+01,,
366,1.96E+00,6.58E+00,,
367,1.03E+01,1.24E+00,,
368,3.84E+00,3.36E+00,,
369,1.71E+01,7.53E-01,,
370,9.71E+00,1.32E+00,,
371,1.36E+00,9.45E+00,,
372,1.79E+00,7.15E+00,,
373,1.95E+00,6.58E+00,,
374,2.20E+01,5.81E-01,,
375,1.50E+00,8.51E+00,,
376,2.19E+00,5.85E+00,,
377,3.51E+00,3.64E+00,,
378,3.62E+00,3.53E+00,,
379,6.13E-01,2.08E+01,,
380,1.16E+00,1.10E+01,,
381,1.26E+00,1.01E+01,,
382,2.55E+00,4.99E+00,,
383,1.34E+00,9.49E+00,,
384,2.38E+01,5.35E-01,,
385,2.39E+01,5.33E-01,,
386,3.18E+00,4.00E+00,,
387,1.50E+01,8.43E-01,,
388,1.35E+00,9.33E+00,,
389,3.29E+01,3.80E-01,,
390,6.37E+00,1.95E+00,,
391,3.84E+00,3.22E+00,,
392,1.93E+01,6.31E-01,,
393,2.73E+00,4.46E+00,,
394,2.92E+00,4.15E+00,,
395,1.09E+00,1.11E+01,,
396,6.31E+00,1.91E+00,,
397,2.89E+00,4.16E+00,,
398,4.33E-01,2.77E+01,,
399,1.79E+00,6.68E+00,,
400,3.52E+00,3.24E+00,,
401,3.85E+00,2.91E+00,,
402,3.54E-01,3.14E+01,,
403,1.67E+01,6.57E-01,,
404,5.29E+00,2.06E+00,,
405,2.92E+00,3.65E+00,,
406,2.68E+01,3.97E-01,,
407,1.49E+01,7.11E-01,,
408,3.35E-01,3.14E+01,,
409,1.41E+01,7.37E-01,,
410,1.27E+00,8.09E+00,,
411,1.67E+01,6.08E-01,,
412,1.11E+00,8.85E+00,,
413,1.99E+00,4.84E+00,,
414,1.07E+00,8.82E+00,,
415,1.66E+00,5.69E+00,,
416,4.66E-01,2.02E+01,,
417,8.59E+00,1.08E+00,,
418,8.27E-01,1.11E+01,,
419,2.13E+00,4.24E+00,,
420,1.14E+01,7.91E-01,,
421,1.23E+00,7.26E+00,,
422,6.19E+00,1.44E+00,,
423,4.26E+00,2.08E+00,,
424,8.99E+00,9.81E-01,,
425,2.82E+00,3.12E+00,,
426,2.87E+00,3.05E+00,,
427,1.44E+00,5.92E+00,,
428,1.44E+00,5.86E+00,,
429,1.19E+01,7.07E-01,,
430,1.05E+00,7.91E+00,,
431,9.25E-01,8.82E+00,,
432,2.82E+00,2.87E+00,,
433,1.12E+00,7.17E+00,,
434,1.01E+00,8.00E+00,,
435,5.55E+00,1.44E+00,,
436,1.11E+01,7.07E-01,,
437,9.91E-01,7.91E+00,,
438,2.56E+00,3.05E+00,,
439,3.62E+00,2.16E+00,,
440,9.88E-01,7.91E+00,,
441,2.64E+01,2.96E-01,,
442,4.47E-01,1.73E+01,,
443,6.05E+00,1.28E+00,,
444,5.97E-01,1.27E+01,,
445,8.15E-01,9.33E+00,,
446,1.41E+01,5.39E-01,,
447,1.89E+00,4.00E+00,,
448,9.55E+00,7.91E-01,,
449,8.59E+00,8.76E-01,,
450,1.66E+00,4.53E+00,,
451,1.99E+00,3.74E+00,,
452,8.99E+00,8.27E-01,,
453,5.44E+00,1.35E+00,,
454,1.04E+01,7.11E-01,,
455,1.36E+01,5.40E-01,,
456,1.35E+01,5.40E-01,,
457,9.36E-01,7.76E+00,,
458,2.04E+00,3.56E+00,,
459,5.63E-01,1.27E+01,,
460,3.53E-01,2.02E+01,,
461,1.33E+01,5.23E-01,,
462,1.93E+01,3.61E-01,,
463,9.62E-01,7.15E+00,,
464,1.27E+01,5.40E-01,,
465,1.02E+00,6.68E+00,,
466,8.57E-01,7.91E+00,,
467,7.26E-01,9.33E+00,,
468,2.89E+00,2.34E+00,,
469,2.04E+00,3.29E+00,,
470,1.00E+00,6.67E+00,,
471,1.66E+00,4.00E+00,,
472,9.28E-01,7.15E+00,,
473,4.92E+00,1.35E+00,,
474,4.05E-01,1.63E+01,,
475,1.01E+00,6.57E+00,,
476,9.36E-01,7.05E+00,,
477,9.89E-01,6.67E+00,,
478,1.13E+01,5.81E-01,,
479,3.94E+00,1.64E+00,,
480,1.21E+01,5.33E-01,,
481,1.21E+01,5.33E-01,,
482,4.44E-01,1.45E+01,,
483,4.03E-01,1.60E+01,,
484,4.47E-01,1.44E+01,,
485,4.51E-01,1.42E+01,,
486,5.44E+00,1.18E+00,,
487,8.96E-01,7.15E+00,,
488,2.96E+00,2.16E+00,,
489,1.11E+00,5.73E+00,,
490,4.39E-01,1.45E+01,,
491,3.90E-01,1.63E+01,,
492,1.09E+01,5.81E-01,,
493,4.45E-01,1.42E+01,,
494,7.83E-01,8.09E+00,,
495,6.92E-01,9.15E+00,,
496,4.03E-01,1.57E+01,,
497,4.90E+00,1.28E+00,,
498,4.26E+00,1.47E+00,,
499,1.93E+01,3.24E-01,,
500,2.33E+00,2.68E+00,,
