Rererence,Height,Width,StripWidth,,,,,,
338,1.89E+01,4.46E-01,,,,,,,
339,3.51E+00,2.40E+00,,,,,,,
340,6.75E+00,1.24E+00,,,,,,,
341,7.85E-01,1.07E+01,,,,,,,
342,2.18E+00,3.84E+00,,,,,,,
343,3.24E+00,2.56E+00,,,,,,,
344,5.16E+00,1.59E+00,,,,,,,
345,4.67E+00,1.75E+00,,,,,,,
346,4.12E+00,1.99E+00,,,,,,,
347,1.28E+01,6.41E-01,,,,,,,
348,8.63E-01,9.47E+00,,,,,,,
349,2.69E+00,3.03E+00,,,,,,,
350,9.83E-01,8.29E+00,,,,,,,
351,1.40E+01,5.82E-01,,,,,,,
352,2.19E+01,3.70E-01,,,,,,,
353,4.93E+00,1.64E+00,,,,,,,
354,2.22E+00,3.63E+00,,,,,,,
355,6.51E-01,1.24E+01,,,,,,,
356,1.59E+01,5.09E-01,,,,,,,
357,2.72E+00,2.96E+00,,,,,,,
358,1.04E+00,7.76E+00,,,,,,,
359,3.92E+00,2.06E+00,,,,,,,
360,5.68E-01,1.42E+01,,,,,,,
361,8.71E-01,9.20E+00,,,,,,,
362,4.27E+00,1.87E+00,,,,,,,
363,6.64E+00,1.20E+00,,,,,,,
364,4.76E-01,1.67E+01,,,,,,,
365,9.76E+00,8.14E-01,,,,,,,
366,9.41E-01,8.43E+00,,,,,,,
367,6.04E+00,1.31E+00,,,,,,,
368,1.34E+01,5.89E-01,,,,,,,
369,3.23E+00,2.45E+00,,,,,,,
370,5.27E+00,1.50E+00,,,,,,,
371,1.20E+01,6.61E-01,,,,,,,
372,1.89E+01,4.17E-01,,,,,,,
373,2.44E+00,3.23E+00,,,,,,,
374,6.82E+00,1.16E+00,,,,,,,
375,3.79E-01,2.08E+01,,,,,,,
376,7.40E+00,1.06E+00,,,,,,,
377,1.59E+01,4.95E-01,,,,,,,
378,6.38E-01,1.23E+01,,,,,,,
379,1.14E+01,6.91E-01,,,,,,,
380,1.68E+00,4.68E+00,,,,,,,
381,4.25E+00,1.85E+00,,,,,,,
382,4.19E+00,1.87E+00,,,,,,,
383,2.53E+01,3.10E-01,,,,,,,
384,6.72E-01,1.16E+01,,,,,,,
385,1.59E+01,4.92E-01,,,,,,,
386,8.09E+00,9.66E-01,,,,,,,
387,1.70E+00,4.59E+00,,,,,,,
388,1.98E+01,3.93E-01,,,,,,,
389,1.04E+00,7.46E+00,,,,,,,
390,5.38E-01,1.44E+01,,,,,,,
391,1.21E+01,6.41E-01,,,,,,,
392,8.15E-01,9.47E+00,,,,,,,
393,9.41E+00,8.19E-01,,,,,,,
394,3.69E+00,2.09E+00,,,,,,,
395,3.75E+00,2.05E+00,,,,,,,
396,1.43E+01,5.37E-01,,,,,,,
397,8.71E-01,8.82E+00,,,,,,,
398,3.00E+00,2.56E+00,,,,,,,
399,3.86E+00,1.99E+00,,,,,,,
400,3.23E+00,2.37E+00,,,,,,,
401,1.03E+01,7.42E-01,,,,,,,
402,2.48E+01,3.08E-01,,,,,,,
403,3.75E+00,2.04E+00,,,,,,,
404,2.03E+01,3.76E-01,,,,,,,
405,1.01E+01,7.54E-01,,,,,,,
406,4.42E-01,1.72E+01,,,,,,,
407,5.09E+00,1.50E+00,,,,,,,
408,1.89E+01,4.02E-01,,,,,,,
409,1.41E+01,5.39E-01,,,,,,,
410,1.01E+01,7.52E-01,,,,,,,
411,2.56E+00,2.96E+00,,,,,,,
412,2.22E+00,3.41E+00,,,,,,,
413,2.48E+01,3.05E-01,,,,,,,
414,4.10E+00,1.85E+00,,,,,,,
415,1.16E+01,6.51E-01,,,,,,,
416,1.40E+01,5.42E-01,,,,,,,
417,4.98E-01,1.52E+01,,,,,,,
418,1.04E+01,7.28E-01,,,,,,,
419,2.73E+01,2.77E-01,,,,,,,
420,8.61E-01,8.75E+00,,,,,,,
421,9.11E+00,8.26E-01,,,,,,,
422,1.70E+00,4.42E+00,,,,,,,
423,2.88E-01,2.60E+01,,,,,,,
424,9.15E+00,8.19E-01,,,,,,,
425,5.99E-01,1.25E+01,,,,,,,
426,5.14E+00,1.46E+00,,,,,,,
427,5.61E-01,1.34E+01,,,,,,,
428,1.32E+01,5.68E-01,,,,,,,
429,1.99E+00,3.76E+00,,,,,,,
430,3.79E+00,1.97E+00,,,,,,,
431,5.61E-01,1.33E+01,,,,,,,
432,8.39E-01,8.88E+00,,,,,,,
433,8.51E-01,8.75E+00,,,,,,,
434,1.00E+01,7.42E-01,,,,,,,
435,7.26E+00,1.02E+00,,,,,,,
436,2.03E+01,3.66E-01,,,,,,,
437,1.98E+00,3.76E+00,,,,,,,
438,3.69E+00,2.01E+00,,,,,,,
439,4.95E+00,1.50E+00,,,,,,,
440,2.84E-01,2.60E+01,,,,,,,
441,1.41E+01,5.25E-01,,,,,,,
442,1.87E+00,3.95E+00,,,,,,,
443,6.57E+00,1.12E+00,,,,,,,
444,4.29E-01,1.72E+01,,,,,,,
445,2.48E+01,2.96E-01,,,,,,,
446,2.26E+00,3.23E+00,,,,,,,
447,8.50E+00,8.60E-01,,,,,,,
448,1.80E+01,3.93E-01,,,,,,,
449,5.93E+00,1.18E+00,,,,,,,
450,5.81E+00,1.18E+00,,,,,,,
451,3.77E-01,1.79E+01,,,,,,,
452,1.30E+01,5.21E-01,,,,,,,
453,6.98E+00,9.66E-01,,,,,,,
454,7.52E+00,8.86E-01,,,,,,,
455,2.22E+00,2.99E+00,,,,,,,
456,2.08E+00,3.20E+00,,,,,,,
457,5.91E-01,1.12E+01,,,,,,,
458,9.07E+00,7.24E-01,,,,,,,
459,6.79E+00,9.66E-01,,,,,,,
460,2.03E+01,3.22E-01,,,,,,,
461,1.05E+00,6.23E+00,,,,,,,
462,2.38E+00,2.75E+00,,,,,,,
463,1.17E+01,5.56E-01,,,,,,,
464,5.27E+00,1.23E+00,,,,,,,
465,4.58E+00,1.42E+00,,,,,,,
466,1.05E+00,6.19E+00,,,,,,,
467,2.66E+00,2.43E+00,,,,,,,
468,3.51E+00,1.84E+00,,,,,,,
469,7.06E+00,9.16E-01,,,,,,,
470,1.30E+01,4.96E-01,,,,,,,
471,2.48E+01,2.58E-01,,,,,,,
472,7.26E+00,8.82E-01,,,,,,,
473,1.08E+01,5.89E-01,,,,,,,
474,5.91E-01,1.07E+01,,,,,,,
475,3.84E+00,1.64E+00,,,,,,,
476,1.95E+00,3.22E+00,,,,,,,
477,3.82E+00,1.64E+00,,,,,,,
478,1.94E+00,3.22E+00,,,,,,,
479,7.06E+00,8.76E-01,,,,,,,
480,3.05E+00,2.02E+00,,,,,,,
481,4.68E+00,1.28E+00,,,,,,,
482,1.91E+00,3.11E+00,,,,,,,
483,2.98E+00,1.97E+00,,,,,,,
484,4.71E+00,1.24E+00,,,,,,,
485,1.68E+00,3.48E+00,,,,,,,
486,5.81E+00,1.00E+00,,,,,,,
487,5.81E+00,9.89E-01,,,,,,,
488,1.68E+00,3.38E+00,,,,,,,
489,4.17E+00,1.33E+00,,,,,,,
490,1.78E+00,3.11E+00,,,,,,,
491,7.56E+00,7.28E-01,,,,,,,
492,9.89E+00,5.56E-01,,,,,,,
493,5.81E+00,9.37E-01,,,,,,,
494,4.17E+00,1.30E+00,,,,,,,
495,7.26E+00,7.49E-01,,,,,,,
496,1.69E+00,3.20E+00,,,,,,,
497,1.97E+00,2.75E+00,,,,,,,
498,2.20E+00,2.43E+00,,,,,,,
499,8.39E-01,6.34E+00,,,,,,,
500,7.20E+00,7.28E-01,,,,,,,
,,,,,,,,,
,,,,,,,,,
